"#","Entity Name","GitHub Repo URL","Live Product URL","Product Type","Category","License","Language / Stack"
"1","Firecrawl","https://github.com/mendableai/firecrawl","https://www.firecrawl.dev","SaaS / API","Full SaaS","AGPL-3.0","TypeScript / Node.js"
"2","Jina Reader","https://github.com/jina-ai/reader","https://jina.ai/reader","API","API Gateway","Apache-2.0","Python"
"3","Apify (Crawlee)","https://github.com/apify/crawlee","https://apify.com","SaaS","Full SaaS","Apache-2.0","TypeScript / Node.js"
"4","Apify (Crawlee-Python)","https://github.com/apify/crawlee-python","https://apify.com","SaaS","Full SaaS","Apache-2.0","Python"
"5","Browser Use","https://github.com/browser-use/browser-use","https://browser-use.com","SaaS / API","Full SaaS","MIT","Python"
"6","ScrapeGraphAI","https://github.com/ScrapeGraphAI/Scrapegraph-ai","https://scrapegraphai.com","SaaS / API","Full SaaS","MIT","Python"
"7","Webclaw","https://github.com/0xMassi/webclaw","https://webclaw.io","SaaS / API","Full SaaS","MIT","Go"
"8","WebPeel","https://github.com/webpeel/webpeel","https://webpeel.dev","SaaS / API","Full SaaS","AGPL-3.0","Rust"
"9","CRW","https://github.com/us/crw","https://fastcrw.com","SaaS / API","Full SaaS","AGPL-3.0","Go"
"10","Crawl4AI","https://github.com/unclecode/crawl4ai","https://crawl4ai.com","SaaS (Early Access)","Early Access SaaS","Apache-2.0","Python"
"11","TeraCrawl","https://github.com/BrowserCash/teracrawl","N/A","Library","Pure Library","MIT","Python"
"12","BrowserPilot","https://github.com/ai-naymul/BrowserPilot","N/A","Library","Pure Library","MIT","Python"
"13","Webustler","https://github.com/DrRuin/webustler","N/A","Library","Pure Library","MIT","Python / MCP"
"14","crawl4ai-mcp-server","https://github.com/sadiuysal/crawl4ai-mcp-server","N/A","Library","Pure Library","MIT","Python / MCP"
"15","Playwright MCP","https://github.com/microsoft/playwright-mcp","N/A","Library","Pure Library","MIT","TypeScript / Node.js"
"16","Trafilatura","https://github.com/adbar/trafilatura","N/A","Library","Pure Library","GPL-3.0","Python"
"17","Mozilla Readability","https://github.com/mozilla/readability","N/A","Library","Pure Library","Apache-2.0","JavaScript"
