"slug","title","html_url","created_at","updated_at","comments","labels"
"playwright-mcp","[Feature] Add a highlighter while tracing and clicking elements for actions like (eg,click, locate)","https://github.com/microsoft/playwright-mcp/issues/492","5/29/2025 9:51:06 AM","5/15/2026 11:32:17 AM","1","backlog"
"trafilatura","Is this project dead?","https://github.com/adbar/trafilatura/issues/846","5/8/2026 7:54:27 AM","5/8/2026 8:05:16 AM","0",""
"trafilatura","Markdown output emits invalid CommonMark when <em>/<strong> contain leading or trailing whitespace","https://github.com/adbar/trafilatura/issues/843","5/4/2026 1:09:47 AM","5/5/2026 8:54:04 PM","0",""
"trafilatura","Markdown output drops spaces after inline formatting inside list items","https://github.com/adbar/trafilatura/issues/845","5/5/2026 12:29:20 AM","5/5/2026 12:29:20 AM","0",""
"trafilatura","Keeping images breaks parsing","https://github.com/adbar/trafilatura/issues/842","4/29/2026 8:29:18 AM","4/29/2026 8:29:18 AM","0",""
"trafilatura","Include links and Include formatting do not work together properly","https://github.com/adbar/trafilatura/issues/511","2/21/2024 1:46:46 PM","4/28/2026 9:11:21 AM","6","bug"
"trafilatura","Intermittent SEGV during concurrent extract() calls","https://github.com/adbar/trafilatura/issues/840","4/10/2026 5:41:40 PM","4/10/2026 5:41:40 PM","0",""
"trafilatura","Project Status","https://github.com/adbar/trafilatura/issues/838","4/2/2026 12:08:31 AM","4/2/2026 12:08:31 AM","0",""
"trafilatura","ImportError: lxml.html.clean module is now a separate project lxml_html_clean.","https://github.com/adbar/trafilatura/issues/835","3/30/2026 3:55:36 PM","3/30/2026 3:55:36 PM","0",""
"trafilatura","Is there any GUI client?","https://github.com/adbar/trafilatura/issues/834","3/25/2026 9:22:22 AM","3/25/2026 9:22:22 AM","0",""
"mozilla-readability","Reader mode on Royal Road stories shows CSS-hidden messages","https://github.com/mozilla/readability/issues/984","9/15/2025 10:48:35 PM","4/30/2026 10:40:31 AM","1","has-website-testcase|reader-mode-has-issues"
"mozilla-readability","ownership-record.monti","https://github.com/mozilla/readability/issues/1007","4/30/2026 10:31:42 AM","4/30/2026 10:31:42 AM","0",""
"mozilla-readability","[bug]  Single word Wikipedia headers are removed while multiple words are parsed","https://github.com/mozilla/readability/issues/998","12/28/2025 11:20:32 AM","3/28/2026 12:25:03 AM","1",""
"mozilla-readability","Site-specific rules","https://github.com/mozilla/readability/issues/89","4/1/2015 4:58:11 PM","3/16/2026 11:17:33 PM","5","maintenance"
"mozilla-readability","[Question]: Custom support for some websites?","https://github.com/mozilla/readability/issues/1004","3/10/2026 8:38:23 PM","3/16/2026 10:43:50 AM","4",""
"mozilla-readability","BBC news articles not containing full article body","https://github.com/mozilla/readability/issues/1005","3/15/2026 6:49:15 AM","3/15/2026 6:49:15 AM","0",""
"mozilla-readability","Content is cut for the page","https://github.com/mozilla/readability/issues/1003","3/8/2026 10:15:32 AM","3/8/2026 10:15:32 AM","0",""
"webustler","[no open issues found]","https://api.github.com/repos/drruin/webustler/issues?state=open&sort=updated&direction=desc&per_page=12","","","0",""
"crawl4ai-mcp-server","[no open issues found]","https://api.github.com/repos/sadiuysal/crawl4ai-mcp-server/issues?state=open&sort=updated&direction=desc&per_page=12","","","0",""
"teracrawl","Using SearXNG instead of browser-serp","https://github.com/BrowserCash/teracrawl/issues/1","2/18/2026 8:56:35 AM","2/18/2026 8:56:35 AM","0",""
"browserpilot","v1.3.0: Crawl Anything — pagination + full-site crawling","https://github.com/ai-naymul/BrowserPilot/issues/25","5/5/2026 7:05:26 AM","5/5/2026 7:05:26 AM","0","enhancement"
"browserpilot","v1.2.0: Universal Proxy System with SOCKS4/5 support","https://github.com/ai-naymul/BrowserPilot/issues/24","5/5/2026 7:05:15 AM","5/5/2026 7:05:15 AM","0","enhancement"
"browserpilot","add openrouter support/multi model supports","https://github.com/ai-naymul/BrowserPilot/issues/22","10/25/2025 6:55:13 PM","2/23/2026 12:59:41 PM","1","enhancement|good first issue"
"browserpilot","add ollama or local model support","https://github.com/ai-naymul/BrowserPilot/issues/16","9/17/2025 5:50:24 PM","9/17/2025 5:50:24 PM","0","enhancement|help wanted"
"browserpilot","extract images","https://github.com/ai-naymul/BrowserPilot/issues/14","9/10/2025 10:46:43 PM","9/11/2025 12:17:52 PM","0","testing"
