subject,total_rows,complaints,feature_requests,praise,source_gaps,reliability_truthfulness,dynamic_pages_and_renderer_visibility,document_fidelity_and_structure,debugging_and_replay_visibility,onboarding_and_honeymoon_gap,structured_extraction_and_schema_control,pricing_and_token_predictability,batch_and_job_control,agent_packaging_and_mcp_setup,authenticated_extraction_and_session_state,anti_bot_and_protected_site_pressure,deep_research_and_enrichment,thin_signal_market_uncertainty,other,top_clusters
firecrawl,29,20,2,3,1,0,2,4,3,4,4,4,0,0,2,4,0,1,1,anti_bot_and_protected_site_pressure:4; structured_extraction_and_schema_control:4; pricing_and_token_predictability:4
webclaw,23,5,4,4,2,2,2,1,0,1,0,2,0,2,1,3,0,9,0,thin_signal_market_uncertainty:9; anti_bot_and_protected_site_pressure:3; dynamic_pages_and_renderer_visibility:2
browser-use,20,12,3,3,1,2,3,1,2,3,0,2,0,0,2,2,0,1,2,dynamic_pages_and_renderer_visibility:3; onboarding_and_honeymoon_gap:3; reliability_truthfulness:2
crawl4ai,20,14,3,1,1,2,5,7,1,3,0,0,0,1,0,0,0,1,0,document_fidelity_and_structure:7; dynamic_pages_and_renderer_visibility:5; onboarding_and_honeymoon_gap:3
crw,17,1,0,7,4,0,0,1,0,1,0,1,0,0,0,0,0,8,6,thin_signal_market_uncertainty:8; other:6; document_fidelity_and_structure:1
jina-reader,17,10,2,3,1,1,1,5,0,3,1,2,0,1,0,2,0,1,0,document_fidelity_and_structure:5; onboarding_and_honeymoon_gap:3; pricing_and_token_predictability:2
scrapegraphai,14,6,3,3,1,3,0,2,1,3,1,0,0,0,1,0,1,1,1,reliability_truthfulness:3; onboarding_and_honeymoon_gap:3; document_fidelity_and_structure:2
playwright-mcp,13,9,3,1,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,agent_packaging_and_mcp_setup:8; debugging_and_replay_visibility:3; authenticated_extraction_and_session_state:2
trafilatura,10,8,0,1,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,document_fidelity_and_structure:8; reliability_truthfulness:1; batch_and_job_control:1
webpeel,10,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,8,0,thin_signal_market_uncertainty:8; onboarding_and_honeymoon_gap:1; pricing_and_token_predictability:1
browserpilot,9,2,6,1,0,1,2,0,0,0,0,1,0,0,0,2,0,0,3,other:3; anti_bot_and_protected_site_pressure:2; dynamic_pages_and_renderer_visibility:2
mozilla-readability,9,6,2,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,document_fidelity_and_structure:6; other:2; reliability_truthfulness:1
teracrawl,8,4,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,anti_bot_and_protected_site_pressure:3; dynamic_pages_and_renderer_visibility:3; other:2
crawl4ai-mcp-server,7,5,1,0,1,0,1,2,0,0,0,0,0,3,0,0,0,1,0,agent_packaging_and_mcp_setup:3; document_fidelity_and_structure:2; thin_signal_market_uncertainty:1
crawl4ai-mcp,6,4,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,agent_packaging_and_mcp_setup:5; thin_signal_market_uncertainty:1
apify-crawlee,4,2,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,batch_and_job_control:2; anti_bot_and_protected_site_pressure:1; debugging_and_replay_visibility:1
apify/crawlee,4,3,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,onboarding_and_honeymoon_gap:3; pricing_and_token_predictability:1
firecrawl_vs_crawl4ai,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,batch_and_job_control:1; debugging_and_replay_visibility:1; anti_bot_and_protected_site_pressure:1
adjacent,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,dynamic_pages_and_renderer_visibility:1; anti_bot_and_protected_site_pressure:1; agent_packaging_and_mcp_setup:1
authenticated_pages_and_session_reuse,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,authenticated_extraction_and_session_state:3
pdf_and_office_document_extraction,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,document_fidelity_and_structure:3
web_to_markdown_fidelity,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,document_fidelity_and_structure:3
webustler,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,thin_signal_market_uncertainty:2; anti_bot_and_protected_site_pressure:1
batch_jobs_retries_and_observability,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,debugging_and_replay_visibility:2
bot_protection_and_cloudflare,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,anti_bot_and_protected_site_pressure:2
crawl4ai_vs_firecrawl,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,other:1; document_fidelity_and_structure:1
document_parsing,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,document_fidelity_and_structure:2
ocr_user_discussion,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,document_fidelity_and_structure:2
selector_capture_replayability_and_deterministic_handoff,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,debugging_and_replay_visibility:1; document_fidelity_and_structure:1
browser_agent_tasks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,authenticated_extraction_and_session_state:1
browser_scraping_agents,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,reliability_truthfulness:1
document_intelligence_vs_scraping,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,document_fidelity_and_structure:1
firecrawl_crawl4ai_jina,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,document_fidelity_and_structure:1
js_heavy_pages_and_spa_timing,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dynamic_pages_and_renderer_visibility:1
multilingual_docs,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,structured_extraction_and_schema_control:1
