"slug","repo","title","html_url","created_at","updated_at","comments","labels"
"firecrawl","firecrawl/firecrawl","[Self-Host] Waterfalling into a permanent loop when blocked by anti-bot","https://github.com/firecrawl/firecrawl/issues/2350","11/1/2025 10:37:59 PM","12/30/2025 9:14:38 AM","25","self-host"
"firecrawl","firecrawl/firecrawl","[Bug] Add an identifiable user agent so that I can prevent it from crawling my site","https://github.com/firecrawl/firecrawl/issues/1169","2/11/2025 6:39:25 PM","4/18/2026 3:48:09 PM","16","bug"
"firecrawl","firecrawl/firecrawl","[Feat] Ability to scrape embedded pdfs","https://github.com/firecrawl/firecrawl/issues/839","10/28/2024 9:01:44 PM","3/4/2026 4:47:42 PM","10","good first issue"
"firecrawl","firecrawl/firecrawl","[Bug] ERR_PNPM_NO_IMPORTER_MANIFEST_FOUND with Docker","https://github.com/firecrawl/firecrawl/issues/2516","12/8/2025 9:47:04 AM","4/6/2026 1:15:50 AM","5","bug"
"firecrawl","firecrawl/firecrawl","[Self-Host] Bull Auth Key Includes Regex Characters","https://github.com/firecrawl/firecrawl/issues/1791","7/11/2025 9:57:28 PM","11/3/2025 10:13:09 PM","3","self-host"
"firecrawl","firecrawl/firecrawl","[Feat] Supabase Integration with Self-Host","https://github.com/firecrawl/firecrawl/issues/2353","11/3/2025 4:53:23 PM","12/1/2025 3:48:30 AM","3",""
"firecrawl","firecrawl/firecrawl","[Bug] The `startExtract` method in the Node.js SDK does not accept webhook options","https://github.com/firecrawl/firecrawl/issues/2582","12/19/2025 10:08:34 AM","4/8/2026 11:35:45 AM","3","bug|sdk|Floater"
"firecrawl","firecrawl/firecrawl","[Bug] High probability ""Job not found"" when immediately querying crawl status with valid job_id","https://github.com/firecrawl/firecrawl/issues/2662","1/14/2026 7:58:08 AM","1/18/2026 9:07:43 AM","3","bug"
"jina-reader","jina-ai/reader","Jina Reader 和 Search 被墙了","https://github.com/jina-ai/reader/issues/1237","3/29/2026 11:47:00 AM","4/2/2026 4:53:54 AM","11",""
"jina-reader","jina-ai/reader","Unable to crawl heavy Javascript based website","https://github.com/jina-ai/reader/issues/1148","2/20/2025 2:59:46 AM","5/12/2026 3:45:07 AM","3",""
"jina-reader","jina-ai/reader","Feature Request: Add x-forward-header-* support for custom header forwarding","https://github.com/jina-ai/reader/issues/1172","3/22/2025 4:56:04 PM","5/12/2026 3:35:43 AM","3",""
"jina-reader","jina-ai/reader","Incorrect response code on missing pages","https://github.com/jina-ai/reader/issues/1103","12/2/2024 4:40:59 PM","2/25/2025 6:32:34 AM","2",""
"jina-reader","jina-ai/reader","Improve documentation / provide llms.txt file","https://github.com/jina-ai/reader/issues/1224","10/19/2025 8:47:47 PM","1/8/2026 9:57:45 PM","2",""
"jina-reader","jina-ai/reader","Jina reading WeChat official account articles is not working.","https://github.com/jina-ai/reader/issues/1187","4/16/2025 6:15:24 AM","4/16/2025 9:01:18 AM","1",""
"jina-reader","jina-ai/reader","Reader can't read certain pdf links","https://github.com/jina-ai/reader/issues/1170","3/21/2025 3:18:11 AM","3/23/2025 1:16:59 PM","1",""
"jina-reader","jina-ai/reader","Arbitrary ""x-site"" header behaviour for jina-search","https://github.com/jina-ai/reader/issues/1232","12/9/2025 2:42:42 PM","1/4/2026 6:06:56 AM","1",""
"apify-crawlee","apify/crawlee","Playwright requires installation via `npx playwright install`","https://github.com/apify/crawlee/issues/2275","1/8/2024 4:06:00 PM","7/2/2025 12:17:46 PM","21","bug|t-tooling"
"apify-crawlee","apify/crawlee","Apify cli command to put failed requests back to queue","https://github.com/apify/crawlee/issues/1363","6/6/2022 8:33:34 AM","9/12/2023 11:49:24 AM","12","feature|t-tooling"
"apify-crawlee","apify/crawlee","Support bundling","https://github.com/apify/crawlee/issues/2208","11/29/2023 3:23:50 AM","12/8/2025 9:34:39 AM","12","feature|t-tooling"
"apify-crawlee","apify/crawlee","Consider avoiding adding suffixes to files in MemoryStorageClient","https://github.com/apify/crawlee/issues/2710","10/14/2024 12:39:01 PM","10/14/2024 1:21:56 PM","9","debt|t-tooling"
"apify-crawlee","apify/crawlee","Idea: we could add function to extract schema.org microdata from a page","https://github.com/apify/crawlee/issues/276","1/11/2019 3:22:16 PM","12/16/2025 6:24:55 PM","8","feature|good first issue|t-tooling"
"apify-crawlee","apify/crawlee","PlaywrightCrawler hangs infinitely when closing page","https://github.com/apify/crawlee/issues/1829","3/14/2023 9:52:02 PM","8/23/2025 7:44:40 AM","7","bug|t-tooling"
"apify-crawlee","apify/crawlee","Support Deno runtime","https://github.com/apify/crawlee/issues/1913","5/12/2023 5:21:11 PM","8/11/2025 5:23:21 PM","7","feature|t-tooling"
"apify-crawlee","apify/crawlee","Bug? PlaywrightCrawler enqueueLinks fails after WWW redirect.","https://github.com/apify/crawlee/issues/2513","6/5/2024 2:37:57 AM","7/25/2025 6:37:04 PM","7","bug|t-tooling"
"scrapegraphai","ScrapeGraphAI/Scrapegraph-ai","📝 Integration Proposal: CAJAL — Scientific Paper Agent for ScrapeGraphAI","https://github.com/ScrapeGraphAI/Scrapegraph-ai/issues/1068","5/4/2026 4:39:17 PM","5/4/2026 4:42:12 PM","0","feature request"
"scrapegraphai","ScrapeGraphAI/Scrapegraph-ai","📋 Documentation Enhancement Suggestion","https://github.com/ScrapeGraphAI/Scrapegraph-ai/issues/1073","5/14/2026 7:10:59 AM","5/14/2026 7:13:02 AM","0","documentation"
"webclaw","0xMassi/webclaw","[fetch failed]","https://api.github.com/search/issues?q=repo%3A0xMassi%2Fwebclaw%20is%3Aissue%20state%3Aopen&sort=comments&order=desc&per_page=8","","","-1","Response status code does not indicate success: 403 (rate limit exceeded)."
"webpeel","webpeel/webpeel","[fetch failed]","https://api.github.com/search/issues?q=repo%3Awebpeel%2Fwebpeel%20is%3Aissue%20state%3Aopen&sort=comments&order=desc&per_page=8","","","-1","Response status code does not indicate success: 403 (rate limit exceeded)."
"browser-use","browser-use/browser-use","[fetch failed]","https://api.github.com/search/issues?q=repo%3Abrowser-use%2Fbrowser-use%20is%3Aissue%20state%3Aopen&sort=comments&order=desc&per_page=8","","","-1","Response status code does not indicate success: 403 (rate limit exceeded)."
"crawl4ai","unclecode/crawl4ai","[fetch failed]","https://api.github.com/search/issues?q=repo%3Aunclecode%2Fcrawl4ai%20is%3Aissue%20state%3Aopen&sort=comments&order=desc&per_page=8","","","-1","Response status code does not indicate success: 403 (rate limit exceeded)."
"crw","us/crw","[fetch failed]","https://api.github.com/search/issues?q=repo%3Aus%2Fcrw%20is%3Aissue%20state%3Aopen&sort=comments&order=desc&per_page=8","","","-1","Response status code does not indicate success: 403 (rate limit exceeded)."
